country,PopChange_2010-2030
Democratic Republic of the Congo,6.4934189452138014E7
Cameroon,1.4752653323620277E7
Central African Republic,2462134.879725724
Angola,2.7922593499858312E7
Morocco,1.0038685111673215E7
Libya,1631075.3349980633
Tunisia,3169637.371672296
Egypt,4.6952388347268574E7
Algeria,1.719916487803774E7
Namibia,1367122.3148127594
Swaziland,729805.56851625
Lesotho,978225.4105665127
South Africa,1.9978276151137087E7
Botswana,994390.564608238
Togo,4229414.841747081
Sierra Leone,3718226.2107371576
Senegal,8883035.754318047
Nigeria,1.0579895828775519E8
Niger,1.9439231207370926E7
Mauritania,3216139.3035411206
Mali,1.372852165060601E7
Liberia,2357847.800310199
Guinea-Bissau,944250.943612417
Gambia,1422921.7394209227
Guinea,6897736.907157775
Ghana,1.4185448422855929E7
Cape Verde,257618.52630461182
Côte d'Ivoire,1.3436891286659999E7
Burkina Faso,1.4315142663224323E7
Benin,7042114.466797497
Brazil,3.263721811189904E7
Turkmenistan,2274485.858289189
Uzbekistan,1.2857102564773973E7
Tajikistan,4983929.717134684
Kyrgyzstan,2680546.658627853
Kazakhstan,7819567.091668911
Mongolia,1686192.6286163584
Republic of Korea,7987878.799071344
Dem People's Rep of Korea,5848799.013636859
China,4.0865578305661654E8
Myanmar,1.442999461134789E7
Cambodia,8810489.390602056
Viet Nam,2.7661022094192073E7
Lao People's Democratic Republic,3046552.0788960983
Malaysia,9574213.45102878
Thailand,2.0711233178455245E7
Brunei Darussalam,102761.56788687053
Philippines,4.2180810918562844E7
Indonesia,6.127783054757181E7
Singapore,1613892.29705039
Timor-Leste,522712.6469615338
Maldives,122529.48197945951
Nepal,1.5586688304323716E7
Pakistan,1.0870106435440709E8
India,4.786202614938228E8
Iran  (Islamic Republic of),2.4307679527891707E7
Sri Lanka,7281603.774386182
Bhutan,346276.47679164144
Bangladesh,6.230333036451232E7
Afghanistan,2.9462664089221623E7
Oman,2861771.5291132126
Kuwait,1870496.3842852886
Lebanon,626331.7591030316
Qatar,1357585.3059668262
Saudi Arabia,1.4650221828953074E7
Turkey,2.5541971556102317E7
Yemen,1.633402729756292E7
Iraq,2.6018892739578802E7
Jordan,5989801.716924654
Syrian Arab Republic,9751086.570864925
Israel,3269979.7786203017
Georgia,393676.8530902864
Cyprus,268250.60267231794
Bahrain,464287.1812819683
Azerbaijan,2499715.4995662295
Armenia,135974.76904628013
United Arab Emirates,3447872.0101356315
"Moldova, Republic of",256241.60621954786
Hungary,1064296.881619549
Poland,6414196.394655266
Romania,1960406.2594860648
Ukraine,2703987.398664145
Belarus,1434993.4695749027
Czech Republic,1690871.8561210048
Slovakia,787283.3960264932
Bulgaria,456787.33004447795
Norway,1891913.1171334933
Sweden,3552577.689534385
Lithuania,258728.34184853637
Latvia,102326.83469066773
Ireland,1513276.649379965
Iceland,165617.76807427887
U.K. of Great Britain and Northern Ireland,1.2496642287985314E7
Finland,1194062.3926817824
Estonia,327215.3975702703
Svalbard and Jan Mayen Islands,4993.793044557291
Madeira Islands,29282.791509432107
Azores Islands,5839.707796504406
British Indian Ocean Territory,0.0
Guernsey,7316.528988362653
Jersey,34504.02894323313
Isle of Man,16892.37049411053
Holy See,53.03757933827081
Greenland,5797.891150566111
Western Sahara,269301.7777655092
Gaza Strip,984048.183278669
West Bank,47853.975801633635
West Bank,1669271.9833919643
Gibraltar,1320.041213994996
Saint Helena,351.77518578251716
Macau,173400.7027953278
Hong Kong,698535.4004435581
Abyei,24412.5155701332
Ilemi triangle,10569.072527049952
Hala'ib triangle,1707.9883962963145
Ma'tan al-Sarra,0.0
Paracel Islands,86.50748369110127
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,94.42492236942053
Aksai Chin,756.7603584676981
Spratly Islands,0.0
Jammu and Kashmir,8080304.678858507
Arunachal Pradesh,482309.73926523945
Norfolk Island,28.527377730738554
Wallis and Futuna,18.993521188793014
French Polynesia,48019.691143450764
New Zealand,1744172.5261702929
Australia,2855137.9973509843
Australia,4301869.409845622
Papua New Guinea,4128895.1924478766
Vanuatu,146343.90417329894
Solomon Islands,315713.8932086859
Fiji,168517.8911434752
Marshall Islands,781.4879535689386
Nauru,3842.2397964207016
Micronesia (Federated States of),23238.885847860307
Kiribati,54302.711640478024
Samoa,53633.9322483668
Tonga,14134.061622653993
Tuvalu,3511.5013056108
Canada,1178.114174411482
Canada,1569521.6488221046
Canada,221506.66275683802
Canada,3215978.7214645045
Canada,417396.90439953015
Canada,9165.189347263135
Canada,8844.086587187716
United States of America,2.0489514703929167E7
United States of America,1.8043031557840187E7
United States of America,2541237.177743561
Japan,5503100.998301013
Russian Federation,2.2155591088474855E7
Cook Islands,3255.0939580040977
Niue,674.1779287686998
Northern Mariana Islands,798.8908354553984
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,86591.92807994236
Tokelau,546.8705094945489
Guam,22376.244383077017
American Samoa,1034.3629566817415
Kuril islands,3443.7485103623367
Martinique,25123.231295636782
Guadeloupe,41783.170300969505
Clipperton Island,0.0
Dominica,15011.387339433773
Dominican Republic,4179445.4729847023
Antigua and Barbuda,23574.30480505301
Cuba,949542.4154770075
Grenada,23790.148298250824
Jamaica,457805.7289348152
Saint Kitts and Nevis,7143.952470201622
Trinidad and Tobago,232979.8194139613
Bahamas,90208.36642830333
Saint Lucia,35959.73106353826
Saint Vincent and the Grenadines,15025.285788884943
Barbados,54275.14029577123
Haiti,4822307.1228160225
Panama,1570297.759310023
El Salvador,1338042.6521160784
Nicaragua,2283642.3706198735
Mexico,3.096637175374973E7
Honduras,4600434.671137905
Guatemala,6586462.374946785
Costa Rica,1306280.096458902
Belize,163970.71944030325
United States of America,6891814.206995039
United States of America,1.5142908591148281E7
Colombia,1.2578051332930407E7
Guyana,126826.63562816748
Ecuador,4544981.524854184
French Guiana,136412.02733252413
Paraguay,2751896.7303207475
Suriname,157307.22858436595
Uruguay,353400.2920457155
Venezuela,4284625.178840398
Peru,8220122.350255936
Chile,4355616.781399612
Bolivia,4078312.5842483295
Netherlands Antilles,82490.26906892945
Navassa Island,0.0
Puerto Rico,292266.48779412283
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,14936.215589306228
Pitcairn,7.265333108903439
Cayman Islands,23449.9472469498
Montserrat,588.363172281263
Turks and Caicos islands,40597.71955712706
British Virgin Islands,5695.467352125873
Anguilla,4467.350871628745
Bermuda,1852.5317667669094
United States Virgin Islands,8183.91749658046
Falkland Islands (Malvinas),1728.062321662299
South Georgia and the South Sandwich Islands,0.0
Argentina,8517198.671497662
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
