country,PopChange_2000-2020
Wallis and Futuna,3261.7532700170104
French Polynesia,61987.80061274419
New Zealand,2133498.878215131
Australia,3175151.099213868
Australia,5401261.664703623
Papua New Guinea,4248030.778693156
Vanuatu,120829.30838671392
Solomon Islands,266704.6236398809
Fiji,319213.4942434323
Marshall Islands,15349.031499491155
Nauru,4995.951793244321
Micronesia (Federated States of),29374.726664895556
Kiribati,56327.07572698579
Samoa,41141.40376081686
Tonga,20793.303865997976
Tuvalu,5577.83167105133
Canada,727.2075040718364
Canada,1716684.0886970656
Canada,188916.8237290468
Canada,3393802.230763204
Canada,475180.0046455602
Canada,10210.900626282859
Canada,9105.663561005134
United States of America,2.8941263509626914E7
United States of America,2.992826750095286E7
United States of America,2760483.8031732226
Japan,2.643313215130413E7
Russian Federation,6.722917141977961E7
Cook Islands,3153.1320684875614
Niue,1321.8220695876423
Northern Mariana Islands,32124.993996298363
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,126169.36946994186
Tokelau,127.57016777781881
Guam,25717.748230838195
American Samoa,20074.194318423994
Kuril islands,14223.430196859437
Martinique,133637.86950310413
Guadeloupe,155015.34480531098
Clipperton Island,0.0
Dominica,27652.777344301154
Dominican Republic,5890577.138094178
Antigua and Barbuda,38343.8624191964
Cuba,2169069.040647534
Grenada,29284.53938108929
Jamaica,904563.3373674038
Saint Kitts and Nevis,17160.55061845085
Trinidad and Tobago,335052.9151258491
Bahamas,125057.17749792333
Saint Lucia,63592.184719175326
Saint Vincent and the Grenadines,41270.42542660092
Barbados,107480.62572682413
Haiti,7137316.466095639
Panama,1727004.8721045426
El Salvador,2687403.331815762
Nicaragua,2577428.1186268823
Mexico,5.0743554166800424E7
Honduras,5484322.5073607825
Guatemala,7158369.832102861
Costa Rica,1714704.0456593526
Belize,187658.87337832036
United States of America,9926607.329153242
United States of America,2.318939089370518E7
Colombia,1.6570511242092133E7
Guyana,188794.57810427088
Ecuador,5482941.559735818
French Guiana,128800.11839058966
Paraguay,2287471.2881660643
Suriname,252660.58599653904
Uruguay,779467.7247289724
Venezuela,7040167.315558228
Peru,9879999.133968316
Chile,8153363.188195249
Bolivia,4660662.594612438
Netherlands Antilles,142639.9854189163
Navassa Island,0.0
Puerto Rico,1262017.801160065
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,32703.492596931166
Pitcairn,15.709735032612933
Cayman Islands,31564.043961126325
Montserrat,2507.790135318502
Turks and Caicos islands,48420.61061674377
British Virgin Islands,10957.32986622861
Anguilla,5139.312967416314
Bermuda,7823.884915108836
United States Virgin Islands,33642.56875662804
Falkland Islands (Malvinas),2303.9592033672825
South Georgia and the South Sandwich Islands,0.0
Argentina,1.1027757782214489E7
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
