country,PopChange_2020-2030
Brunei Darussalam,49322.668644075515
Philippines,2.6311360504845858E7
Indonesia,4.273626217130541E7
Singapore,1331912.9830862877
Timor-Leste,330822.50625230686
Maldives,46255.76877885693
Nepal,1.1349010891426258E7
Pakistan,5.9501188637351856E7
India,3.1819087693776196E8
Iran  (Islamic Republic of),1.016258002828144E7
Sri Lanka,6219175.677288978
Bhutan,287374.3269047611
Bangladesh,4.694874337768028E7
Afghanistan,1.588561067833647E7
Oman,1397652.4210624094
Kuwait,338656.52439280396
Lebanon,1302604.3932976397
Qatar,331298.71145882364
Saudi Arabia,6190687.135884394
Turkey,1.4791696024509083E7
Yemen,8388547.663023712
Iraq,1.2487260571360143E7
Jordan,1627725.8994894058
Syrian Arab Republic,1.1083796680964176E7
Israel,1632759.3379075052
Georgia,531321.8535498304
Cyprus,126670.58338298136
Bahrain,252476.38215073367
Azerbaijan,1527541.8670499744
Armenia,181588.93253309658
United Arab Emirates,1234179.9453728432
"Moldova, Republic of",377088.22498798097
Hungary,1431616.1202195324
Poland,6672187.883986482
Romania,2977985.5937940804
Ukraine,1.2043320058805985E7
Belarus,1673147.6792083518
Czech Republic,1876076.7997643547
Slovakia,726473.6535226434
Bulgaria,1450925.774521097
Norway,1097820.6180238076
Sweden,1964714.0785287262
Lithuania,781661.6711746586
Latvia,502758.2129754647
Ireland,1051741.0667027503
Iceland,80273.04667078488
U.K. of Great Britain and Northern Ireland,7402426.618450432
Finland,1019075.9130170677
Estonia,279407.28613530647
Svalbard and Jan Mayen Islands,2415.115504632744
Madeira Islands,29600.10787025436
Azores Islands,26624.80674557784
British Indian Ocean Territory,0.0
Guernsey,3843.341960065396
Jersey,16709.980903763226
Isle of Man,20606.302205115528
Holy See,57.24496434845542
Greenland,4427.847526117463
Western Sahara,115528.5206631799
Gaza Strip,553753.3746307511
West Bank,26905.687165360614
West Bank,901149.6013163616
Gibraltar,300.8085991199586
Saint Helena,756.4384211083143
Macau,68967.1562979898
Hong Kong,454495.4441436982
Abyei,11566.874733625511
Ilemi triangle,5079.120169623008
Hala'ib triangle,1395.8847992786734
Ma'tan al-Sarra,0.0
Paracel Islands,7.2862740875459195
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,103.90531307458878
Aksai Chin,323.2673434807316
Spratly Islands,0.0
Jammu and Kashmir,4582081.230552352
Arunachal Pradesh,245117.5816713745
Norfolk Island,399.40619539270347
Wallis and Futuna,427.80453266275737
French Polynesia,29825.417205645696
New Zealand,668889.8960237638
Australia,1433402.1385732912
Australia,2199983.4059963734
Papua New Guinea,2158331.740752816
Vanuatu,80271.2542276767
Solomon Islands,172631.9138414732
Fiji,82255.58713837758
Marshall Islands,2728.0149513957263
Nauru,1949.8155113846467
Micronesia (Federated States of),17815.414663945692
Kiribati,33997.1056901219
Samoa,33565.6802301981
Tonga,12807.238173522514
Tuvalu,2597.860538727502
Canada,765.8981518510681
Canada,752159.7900542502
Canada,118687.27200698975
Canada,1490119.2878870063
Canada,210782.12085667215
Canada,3797.4883009278183
Canada,3619.742887641903
United States of America,1.0894747420426423E7
United States of America,1.2794124530812968E7
United States of America,1887495.2632999327
Japan,1.255451224794703E7
Russian Federation,2.40283669090136E7
Cook Islands,1393.1614839195145
Niue,489.8698816184919
Northern Mariana Islands,4330.415566008728
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,53066.73870311415
Tokelau,176.74076511785384
Guam,15891.31161607857
American Samoa,6517.528248758208
Kuril islands,4150.652814425444
Martinique,32171.523258318484
Guadeloupe,35411.89158035582
Clipperton Island,0.0
Dominica,9658.242287654572
Dominican Republic,2667473.683091606
Antigua and Barbuda,11580.817550760976
Cuba,1000545.0500724455
Grenada,12216.060482892974
Jamaica,450835.81500163715
Saint Kitts and Nevis,3765.5004574843356
Trinidad and Tobago,140613.16640314733
Bahamas,54334.215034186964
Saint Lucia,23582.838861213746
Saint Vincent and the Grenadines,12039.056024529134
Barbados,34198.91548912154
Haiti,3387977.427376243
Panama,951273.8596624029
El Salvador,1011905.6295094126
Nicaragua,1334509.908892196
Mexico,1.6564867371622086E7
Honduras,2382514.4701770283
Guatemala,3449554.248727949
Costa Rica,874454.5899315396
Belize,73346.23374597852
United States of America,3428489.324726077
United States of America,1.1643411558965279E7
Colombia,7965344.716894238
Guyana,81338.92860274686
Ecuador,2055564.2207296544
French Guiana,79891.41382443075
Paraguay,1908697.5521165992
Suriname,93072.76345403011
Uruguay,327189.4717245472
Venezuela,3708045.824180413
Peru,4147689.036653112
Chile,2304065.014111325
Bolivia,2212767.2447873694
Netherlands Antilles,34355.86984498049
Navassa Island,0.0
Puerto Rico,406609.33417400595
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,9153.507565973334
Pitcairn,4.520794799777807
Cayman Islands,10452.204785021504
Montserrat,576.3034359469798
Turks and Caicos islands,13988.014264682988
British Virgin Islands,2189.2919917749723
Anguilla,678.8335739591469
Bermuda,2767.1713243927397
United States Virgin Islands,11755.952204518588
Falkland Islands (Malvinas),679.8837625413611
South Georgia and the South Sandwich Islands,0.0
Argentina,3867744.335714851
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
