country,Population2020
Serbia,12581730.28
South Sudan,10678301.52
Sudan,46027166.78
Cocos (Keeling) Islands,514.98
Christmas Island,3077.89
Ashmore and Cartier Islands,0.00
Faroe Islands,108346.64
Mayotte,317503.36
Réunion,1022234.73
Tromelin Island,0.00
Juan de Nova Island,0.00
Glorioso Island,0.00
Europa Island,0.00
Bassas da India,0.00
Saint Pierre et Miquelon,8203.87
French Southern and Antarctic Territories,0.00
The former Yugoslav Republic of Macedonia,2831274.78
San Marino,43411.06
Slovenia,3028872.01
Portugal,12708165.50
Bosnia and Herzegovina,4629353.30
Andorra,103468.24
France,94209543.32
Australia,5914757.03
Palau,17123.08
Canada,31683627.05
Canada,3250168.63
Canada,745660.80
Mozambique,32850920.22
Mauritius,1380030.11
Malawi,20029322.56
Rwanda,13144735.63
Somalia,16617250.90
Zambia,19459553.07
Kenya,52103462.90
Madagascar,29931821.60
United Republic of Tanzania,61982066.20
Uganda,44498924.90
Ethiopia,118681333.91
Eritrea,3654665.21
Djibouti,1110806.57
Comoros,811892.07
Burundi,12233031.49
Angola,34100131.84
Namibia,2670350.34
South Africa,66932864.66
Botswana,2766869.54
Brazil,225515425.50
Turkmenistan,8037530.03
Uzbekistan,44073660.90
Tajikistan,12246637.99
Kyrgyzstan,8512409.17
Myanmar,55750311.55
Viet Nam,100414425.76
Lao People's Democratic Republic,7681977.93
Brunei Darussalam,445924.11
Philippines,111208910.79
Timor-Leste,1309784.57
Maldives,431113.27
Nepal,33026863.97
Pakistan,258748280.06
India,1501921974.01
Sri Lanka,21840959.27
Bhutan,934111.38
Bangladesh,182789150.71
Afghanistan,47316342.29
Turkey,106123495.36
Ukraine,66552672.16
Czech Republic,16325240.10
Slovakia,8240933.00
Norway,10405604.36
Sweden,19664407.20
Latvia,3433624.22
Svalbard and Jan Mayen Islands,12706.04
Madeira Islands,309980.28
Azores Islands,288894.06
British Indian Ocean Territory,0.00
Guernsey,94992.41
Jersey,161787.68
Isle of Man,141692.63
Holy See,1580.18
Greenland,74214.04
Western Sahara,599843.23
Gaza Strip,2098928.30
West Bank,119997.98
West Bank,3786297.42
Gibraltar,30498.66
Saint Helena,5770.65
Macau,526855.02
Abyei,29759.76
Ilemi triangle,25443.25
Hala'ib triangle,5250.07
Ma'tan al-Sarra,0.00
Paracel Islands,465.87
Senkaku Islands,0.00
Scarborough Reef,0.00
China/India,910.50
Aksai Chin,5707.08
Spratly Islands,0.00
Jammu and Kashmir,23409711.13
Arunachal Pradesh,1282109.72
Norfolk Island,2482.39
Wallis and Futuna,11738.60
French Polynesia,302928.96
New Zealand,6452119.45
Australia,8470352.24
Australia,16364082.21
Papua New Guinea,9290075.61
Vanuatu,315867.39
Solomon Islands,675930.47
Fiji,858337.07
Marshall Islands,37263.85
Nauru,11656.31
Micronesia (Federated States of),105676.60
Kiribati,123173.53
Samoa,215176.69
Tonga,110237.62
Tuvalu,10130.87
Canada,8067.24
Canada,7213348.79
Canada,909414.02
Canada,9576037.22
Canada,2259485.49
Canada,42017.80
Canada,46190.59
United States of America,113582278.23
United States of America,140547525.99
United States of America,25346746.79
Russian Federation,250012645.14
Cook Islands,17912.87
Niue,2194.38
Northern Mariana Islands,50187.19
Wake Island,0.00
Jarvis Island,0.00
New Caledonia,305292.65
Tokelau,1494.93
Guam,173484.55
American Samoa,47077.44
Kuril islands,20884.17
Martinique,375953.59
Guadeloupe,450121.00
Clipperton Island,0.00
Dominica,72833.95
Dominican Republic,11634434.51
Antigua and Barbuda,96033.87
Cuba,12162357.27
Grenada,118480.53
Jamaica,2959406.40
Saint Kitts and Nevis,49030.93
Trinidad and Tobago,1541754.38
Bahamas,442535.48
Saint Lucia,182925.35
Saint Vincent and the Grenadines,112291.88
Barbados,287989.26
Haiti,11887594.53
Panama,4325964.59
El Salvador,6486100.33
Nicaragua,6925135.68
Mexico,135361564.41
Honduras,10445588.68
Guatemala,17973545.46
Costa Rica,5201010.95
Belize,412059.94
United States of America,30578769.40
United States of America,116501769.78
Colombia,51275716.49
Guyana,806610.44
Ecuador,17587303.92
French Guiana,292276.07
Paraguay,7315790.41
Suriname,601844.24
Uruguay,4109240.23
Venezuela,28862756.71
Peru,33842286.95
Chile,23426010.11
Bolivia,12478262.97
Netherlands Antilles,268690.38
Navassa Island,0.00
Puerto Rico,3445269.43
Palmyra Atoll,0.00
Midway Island,0.00
Kingman Reef,0.00
Johnston Atoll,0.00
Howland Island,0.00
Baker Island,0.00
Bird Island,0.00
Aruba,108358.05
Pitcairn,62.67
Cayman Islands,71993.38
Montserrat,4736.33
Turks and Caicos islands,46600.78
British Virgin Islands,31060.18
Anguilla,16073.56
Bermuda,53043.35
United States Virgin Islands,104838.30
Falkland Islands (Malvinas),5433.55
South Georgia and the South Sandwich Islands,0.00
Argentina,53761113.85
Heard Island and McDonald Islands,0.00
Bouvet Island,0.00
Antarctica,0.00
