,country,continent,c1UrbanPopChange_2000-2020,c1UrbanPopChange_2010-2020,c1UrbanPopChange_2010-2030,c1UrbanPopChange_2020-2030,c2UrbanPopChange_2000-2020,c2UrbanPopChange_2010-2020,c2UrbanPopChange_2010-2030,c2UrbanPopChange_2020-2030,c3UrbanPopChange_2000-2020,c3UrbanPopChange_2010-2020,c3UrbanPopChange_2010-2030,c3UrbanPopChange_2020-2030,NonUrbanPopulation_10YearLag2020,NonUrbanPopulation_10YearLag2030,NonUrbanPopulation_20YearLag2020,NonUrbanPopulation_20YearLag2030,PopChange_2000-2020,PopChange_2010-2020,PopChange_2010-2030,PopChange_2020-2030,Population2000,Population2010,Population2020,Population2030,UrbanPopulation2000,UrbanPopulation2010,UrbanPopulation2020,UrbanPopulation2030,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2030,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2030,Region,Income group
22,Baker Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,Bangladesh,Asia,411240,216957,391774,100074,25025590,14021399,26816702,17050138,25025590,14021399,26816702,17050138,1393024,850754,1644995,1416539,63438681,35030810,62303330,32747520,141072087,162058534,182782737,201329034,76169622,94116825,112476934,134448352,12661293,12294954,22965687,25688462,South Asia,Lower middle income
24,Barbados,North America,6472,178,1257,763,16039,9582,9200,6049,16039,9582,9200,6049,1051,6149,21575,3986,61672,47691,54275,18410,271815,282153,287678,290299,194702,169123,172563,173042,15054,5183,5245,16920,Latin America & Caribbean,High income
25,Bassas da India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,Belarus,Europe,12352,2416,7106,3804,1387841,909693,1033537,204140,1387841,909693,1033537,204140,180842,166936,333983,277488,2006506,1108902,1434993,473873,17298948,16418053,16256325,15530923,10766550,10623702,11005560,10586599,193013,57333,444883,185990,Europe & Central Asia,Upper middle income
27,Belgium,Europe,32520,11010,16135,3324,933027,507452,727544,285790,933027,507452,727544,285790,120545,117626,206957,173829,2658256,1291002,2009721,950090,16249935,17220730,18301561,18794567,8129258,8762014,9441690,9799530,381968,293975,828965,613863,Europe & Central Asia,High income
28,Belize,North America,3509,2087,3637,0,38325,17723,31529,17507,38325,17723,31529,17507,13745,0,10680,12282,173924,102767,163971,65225,251148,336342,411338,468441,118341,171371,193879,217533,26726,8113,49905,34935,Latin America & Caribbean,Upper middle income
29,Benin,Africa,23331,20246,42342,18338,1811876,1427319,2920973,1748004,1811876,1427319,2920973,1748004,80381,100659,63412,120002,5929126,3300170,7042114,3825446,7053176,9514411,12734626,16505739,3876626,5531031,7670088,9939309,818895,620040,2154505,1585221,Sub-Saharan Africa,Lower middle income
30,Bermuda,North America,159,48,71,0,1190,296,215,20,1190,296,215,20,4525,0,5543,4318,4403,1435,1853,573,52047,53164,53030,51409,24158,22979,18110,17187,0,0,0,0,North America,High income
31,Bhutan,Asia,1890,789,3813,1726,76314,29365,34352,20260,76314,29365,34352,20260,4137,13496,4604,14738,382431,216352,346276,168400,723007,857967,934596,984023,218557,274039,280418,280274,20512,42334,39602,63154,South Asia,Lower middle income
32,Bird Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,Bolivia,South America,26895,9617,17361,4164,2164827,1357716,2507282,1248072,2164827,1357716,2507282,1248072,54363,39669,87576,82423,4076829,2172588,4078313,1982570,8984032,10687542,12477027,14229400,5176908,6635443,8248021,9613675,365195,184246,1090919,617817,Latin America & Caribbean,Lower middle income
34,Bosnia and Herzegovina,Europe,9796,3504,7439,1957,135061,60194,100651,70716,135061,60194,100651,70716,89051,62231,108928,130095,517123,188060,413839,276469,5827738,5315013,4629314,4341399,2226413,1996889,1736454,1604639,116483,56376,173750,163806,Europe & Central Asia,Upper middle income
35,Botswana,Africa,10711,3507,4833,462,325302,216360,415154,217207,325302,216360,415154,217207,23702,5949,44836,22794,957712,520180,994391,479496,1875357,2270651,2766838,3232127,1069596,1309413,1594591,1864138,98548,65203,264721,171803,Sub-Saharan Africa,Upper middle income
36,Bouvet Island,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,Brazil,South America,288037,52881,123840,30836,31639327,14497314,22541811,9104676,31639327,14497314,22541811,9104676,516653,385111,1217261,773519,46714316,20117555,32637218,14031083,186340519,207854104,225495688,236690966,130190235,149609837,165634878,175264511,3299131,2104289,8723562,5477213,Latin America & Caribbean,Upper middle income
38,British Indian Ocean Territory,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
39,British Virgin Islands,North America,1216,0,506,256,2378,912,925,289,2378,912,925,289,0,6184,3970,5915,10771,3762,5695,2116,20190,27633,30773,32815,8254,12558,13820,8167,362,0,5942,93,Latin America & Caribbean,High income
40,Brunei Darussalam,Asia,163,52,1240,525,37635,21197,33419,16369,37635,21197,33419,16369,1725,8339,4906,10045,129237,65517,102762,40765,337229,400266,445845,478052,144885,203770,249974,272061,32341,15890,80363,50901,East Asia & Pacific,High income
41,Bulgaria,Europe,13785,4540,9556,2489,299882,157390,153949,47446,299882,157390,153949,47446,199637,173593,332951,325122,725083,318760,456787,259162,10965911,10275731,9443327,8510726,5791874,5360171,4875403,4336435,64975,63914,206100,98660,Europe & Central Asia,High income
42,Burkina Faso,Africa,37221,19234,25005,16123,3050260,2053371,4268655,2556929,3050260,2053371,4268655,2556929,92420,116435,105160,103285,12925014,7688671,14315143,7206029,12166870,16485915,22010187,28133462,4819413,7207523,9713200,13012561,1146320,1047309,2761093,2331060,Sub-Saharan Africa,Low income
43,Burundi,Africa,306962,215211,380130,106033,1330927,702939,1563713,936952,1330927,702939,1563713,936952,667878,406382,723777,814286,7852839,4715835,8683743,4408498,6332675,9152063,12233008,15815287,2572615,3322954,3601701,4690769,510038,550046,805177,796150,Sub-Saharan Africa,Low income
44,Cambodia,Asia,177600,55461,198045,151079,1534486,1027777,1789111,2890938,1534486,1027777,1789111,2890938,475768,1055909,768053,1055046,7391305,3936051,8810489,5634677,12372916,14623067,16653233,18336673,4675233,5444905,6865632,9603243,1431567,1879643,2430505,4821769,East Asia & Pacific,Lower middle income
45,Cameroon,Africa,14489,17836,46724,28786,6267365,4131105,8759159,4896979,6267365,4131105,8759159,4896979,91200,144296,69243,153119,12014541,7188384,14752653,7649443,15130262,19935018,26570032,34165023,9756044,13469124,18121680,23796751,943674,917732,2487285,1997261,Sub-Saharan Africa,Lower middle income
46,Canada,North America,94271,28749,73127,22406,7882292,4186836,7445701,3518795,7882292,4186836,7445701,3518795,207986,210175,350617,332594,12149186,6195978,11112643,5242963,44983748,49826636,55720541,60379234,28046565,32770226,37851081,41716511,1202732,758368,2756944,1970009,North America,High income
47,Cape Verde,Africa,291,1005,37,747,107128,63399,126256,99993,107128,63399,126256,99993,2698,5657,3132,1798,235731,138846,257619,144679,430199,492129,558631,618825,287018,337608,399297,450825,45471,9631,79251,70821,,
48,Cayman Islands,North America,7120,0,0,0,7986,5104,7649,2803,7986,5104,7649,2803,0,0,13350,0,30639,15649,23450,8181,42149,57654,71863,77774,18340,14986,22089,37175,1999,12296,1999,14549,Latin America & Caribbean,High income
49,Central African Republic,Africa,2981,1558,11428,9374,663001,325986,1183548,930095,663001,325986,1183548,930095,11941,38096,11035,34411,1649201,754669,2462135,1763841,3775746,4681372,5367708,7131465,1770431,2352457,2805942,4000046,169176,292734,395749,489226,Sub-Saharan Africa,Low income
50,Chad,Africa,17523,19991,30045,28704,2320037,1451759,3187721,2115007,2320037,1451759,3187721,2115007,71279,94445,46876,69211,8984533,5472318,11215474,5975814,8382571,12062755,16918849,22867797,4079289,5888497,7869534,10930935,871320,1021171,1714230,2102625,Sub-Saharan Africa,Low income
51,Chile,South America,45075,13750,28524,7813,4243539,2269801,2942670,990806,4243539,2269801,2942670,990806,71716,64503,143427,119429,6461495,3154265,4355617,1530468,18653558,20636434,23423184,24180055,13075208,15232978,17599340,18138234,468001,191261,1638992,696481,Latin America & Caribbean,High income
52,China,AsiaAsia,6608006,2671750,5911718,1818866,231509467,134849163,185801972,76793790,231509467,134849163,185801972,76793790,29555530,25620293,39216713,41968873,532381808,284916246,408655877,172952823,1509703723,1608453908,1698714082,1686652250,879020278,962596949,1035425652,1031761354,59108591,29642512,136884213,80213040,East Asia & Pacific,Upper middle income
53,Christmas Island,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1732,969,2069,1100,1336,2098,3068,4168,0,0,0,0,0,0,0,0,,
54,Clipperton Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
55,Cocos (Keeling) Islands,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,557,517,470,0,0,0,0,0,0,0,0,,
56,Colombia,South America,36187,12651,23578,31121,9970255,5642558,7975376,3553915,9970255,5642558,7975376,3553915,207867,333323,381400,384016,14186024,7443118,12578051,5624873,39469904,45109790,51271440,54555842,28533392,33810155,39677261,42743099,1027351,1084942,2623054,2874974,Latin America & Caribbean,Upper middle income
57,Comoros,Africa,6670,5414,17471,8024,160852,91263,175891,94698,160852,91263,175891,94698,30162,45682,21465,55234,271160,151000,305884,154886,539422,659583,810582,965465,348321,451389,576902,695185,58999,61242,82524,105669,Sub-Saharan Africa,Lower middle income
58,Congo,Africa,3479,2007,3721,1310,2008295,1370832,2686932,1629865,2008295,1370832,2686932,1629865,36080,54946,9883,59039,3233749,2001688,3957112,2055568,3124247,4405393,5659892,7037028,2663029,3669672,4831956,6193952,343738,250616,738844,837200,,
59,"Congo, Dem. Rep.",Africa,301288,153701,285294,260725,22604628,15594260,35769462,22956806,22604628,15594260,35769462,22956806,625921,871318,730686,741897,47685118,29886495,64934189,35923061,48821134,66728859,93411595,128437858,29065863,41688448,61478278,88912143,6046811,5389484,11638826,13230365,Sub-Saharan Africa,Low income
60,Cook Islands,Oceania,0,4,29,0,0,0,0,0,0,0,0,0,6996,0,0,7052,2301,2895,3255,840,16308,17803,17758,18045,0,8962,0,0,0,0,0,0,,
61,Costa Rica,North America,8991,1729,5277,2287,604761,336144,540034,243426,604761,336144,540034,243426,24184,29639,43768,42774,1437342,791688,1306280,594319,4039849,4692837,5199828,5514010,2547591,2976820,3311913,3498211,117628,68764,291424,192840,Latin America & Caribbean,Upper middle income
62,Croatia,Europe,4474,1160,5775,2460,105177,44943,49917,23341,105177,44943,49917,23341,48155,81735,79530,110405,470393,173879,346632,242859,6351870,6099213,5716958,5373260,2781528,2717344,2539397,2338633,46699,31043,153038,59420,Europe & Central Asia,High income
63,Cuba,North America,6005,1341,4963,1961,523162,251052,286108,87414,523162,251052,286108,87414,80530,62707,92465,116231,1189631,708068,949542,349757,11947854,12144755,12158048,11857017,9240899,9375465,9134936,8797980,94943,59930,187148,131327,Latin America & Caribbean,Upper middle income
64,Cyprus,Asia,4702,82,345,0,158715,91794,135386,49788,158715,91794,135386,49788,7838,0,15620,7903,404707,169732,268251,107922,1157071,1378773,1510316,1599490,658397,800048,916811,984146,51321,23572,135258,78051,Europe & Central Asia,High income
65,Czech Republic,Europe,25717,15360,29936,14294,424485,229138,352390,186416,424485,229138,352390,186416,162748,215937,246181,316090,2060111,968507,1690872,925850,15859335,16218990,16325336,16300960,7662214,7617001,7587309,7555839,272604,221461,515600,456732,,
66,Côte d'Ivoire,Africa,38586,16360,45590,35737,4305267,2947866,6453876,3953265,4305267,2947866,6453876,3953265,72615,189832,112255,149110,10647863,6099634,13436891,7561875,16941272,21288935,27008109,34458072,9341424,12377424,16646518,21668184,1550695,1257986,3318403,3041704,,
67,Denmark,Europe,11357,3364,3844,849,735037,426316,734718,337146,735037,426316,734718,337146,43274,25904,90329,49035,1531447,750452,1477825,827632,9309182,9684749,10172125,10667366,4618197,4917683,5353555,5722057,128446,103228,277213,217736,Europe & Central Asia,High income
68,Djibouti,Africa,67,3,25,0,304793,185756,298439,128559,304793,185756,298439,128559,2652,0,1906,1615,422742,253433,418221,183279,756409,936649,1109786,1269117,657672,820839,962613,1097166,16663,20933,48884,40075,Middle East & North Africa,Lower middle income
69,Dominica,North America,0,0,0,0,1228,851,1829,1585,1228,851,1829,1585,0,0,0,0,15447,9599,15011,6350,69061,69412,72302,75343,16194,16509,23209,31305,5848,6512,5848,12966,Latin America & Caribbean,Upper middle income
70,Dominican Republic,North America,57332,47218,71006,18148,2090272,1230003,2084933,1033377,2090272,1230003,2084933,1033377,178881,124647,188027,220611,4229996,2684357,4179445,1847484,9062514,10359387,11631929,12659422,6927284,8123736,8774550,9506707,368080,169421,853165,520258,Latin America & Caribbean,Upper middle income
71,Ecuador,South America,17171,7379,17176,4308,3185690,1868884,3113685,1328966,3185690,1868884,3113685,1328966,44290,27179,55555,68104,5219469,2650018,4544982,1974149,12626669,14989823,17582665,19475398,8107867,10133356,12236482,13692222,312440,182895,1149982,532938,Latin America & Caribbean,Upper middle income
72,"Egypt, Arab Rep.",Africa,82254,38074,70662,19178,29517813,17670847,33297214,17627694,29517813,17670847,33297214,17627694,456519,283499,454224,592194,44131310,25745579,46952388,22125237,82076761,100359815,123590644,143730096,68832140,86457596,106620118,124976547,4716492,2316796,10594776,8334270,Middle East & North Africa,Lower middle income
73,El Salvador,North America,12935,6074,9942,4928,478140,231768,361211,179000,478140,231768,361211,179000,99853,29495,120873,89585,1516671,810156,1338043,641061,6138936,6300495,6484874,6755091,4136839,4160966,4061001,4117507,124980,64823,263904,162474,Latin America & Caribbean,Upper middle income
74,Equatorial Guinea,Africa,1965,1465,2010,386,459921,733013,1035289,342980,459921,733013,1035289,342980,20788,1439,12250,20467,1162816,910094,1312526,408009,677397,1084713,1589456,1987947,359800,684002,1379578,1738197,135267,22951,643495,192596,Sub-Saharan Africa,Upper middle income
75,Eritrea,Africa,3737,1850,5431,3884,331443,164681,248776,194962,331443,164681,248776,194962,21217,19422,13400,18458,1665154,1013542,1706720,785005,2472893,3238780,3653620,4400419,1767460,2211632,2123766,2496663,203226,220963,373126,447425,Sub-Saharan Africa,Low income
76,Estonia,Europe,743,1785,2366,599,103150,134854,168592,43058,103150,134854,168592,43058,69371,16802,84212,61967,461851,248009,327215,101272,2717611,2582888,2578845,2501981,1453370,1311534,1374181,1401517,76021,46451,168428,112008,Europe & Central Asia,High income
77,Ethiopia,Africa,365721,466105,788366,936607,14436934,9162529,15679850,8504249,14436934,9162529,15679850,8504249,1344531,3372330,874498,1675021,77182623,54051133,89295580,40665694,68066302,90494009,118679981,151159246,42012778,52439392,52741569,63073381,6934016,6813878,11862278,12001692,Sub-Saharan Africa,Low income
78,Europa Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,Falkland Islands (Malvinas),South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,1319,1728,427,4581,4666,5285,5460,0,0,0,0,0,0,0,0,,
80,Faroe Islands,Europe,0,0,0,0,2244,1428,2824,1398,2244,1428,2824,1398,0,0,0,0,16627,8717,13637,5261,93305,98826,106939,111280,25594,26268,27695,36556,0,7464,0,7464,Europe & Central Asia,High income
81,Fiji,Oceania,13320,0,19,0,67441,31221,69185,44124,67441,31221,69185,44124,7,965,42585,965,203174,111302,168518,73205,771558,841139,858693,922848,331579,338327,361801,405030,10120,1114,22387,12557,East Asia & Pacific,Upper middle income
82,Finland,Europe,11702,6284,17144,4667,418654,266727,288520,85839,418654,266727,288520,85839,81475,141006,92666,183935,1619681,786215,1194062,545501,10756038,11134384,11464129,11536055,4001252,4331446,4651947,4624370,250969,158348,558638,382083,Europe & Central Asia,High income
83,France,Europe,109513,36546,100495,36319,3623763,1752623,2969773,1592515,3623763,1752623,2969773,1592515,690482,899622,1062777,1300858,14495172,6411963,11527001,6138821,85799624,91264944,94207596,95744737,44462622,46542342,47480657,48308778,1513025,1299170,3216057,2681704,Europe & Central Asia,High income
84,French Guiana,South America,0,1074,851,1010,18152,20404,54778,45196,18152,20404,54778,45196,2913,3359,0,1836,126843,63051,136412,77026,167267,230994,292154,366315,68212,119199,182185,242136,46083,18612,97297,69682,,
85,French Polynesia,Oceania,0,0,3663,2037,21335,11598,22189,14341,21335,11598,22189,14341,0,14769,0,14769,55809,22268,48020,26256,250864,282993,300493,323180,109608,137701,171337,179507,22839,6672,40982,31234,East Asia & Pacific,High income
86,French Southern and Antarctic Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
87,Gabon,Africa,3901,1225,1477,0,666045,458910,797696,365903,666045,458910,797696,365903,3986,0,10439,2523,1043747,642150,1133758,505229,1264780,1702178,2276612,2755956,879461,1234956,1745769,2171161,90245,73112,220423,179805,Sub-Saharan Africa,Upper middle income
88,"Gambia, The",Africa,3901,1474,5983,7419,682815,475255,981223,554706,682815,475255,981223,554706,8928,27722,12449,19786,1211892,677147,1422922,760031,1489231,2014120,2680832,3399912,829690,1273096,1876603,2481426,139671,77258,383973,249428,Sub-Saharan Africa,Low income
89,Gaza Strip,0,0,0,0,0,770117,410999,922725,528477,770117,410999,922725,528477,0,0,0,0,857145,439380,984048,549049,1241716,1664050,2098861,2643205,1150863,1579709,2033532,2574662,47215,17279,112553,77005,,
90,Georgia,Asia,3736,764,1646,659,207904,113581,160407,74867,207904,113581,160407,74867,41909,50592,148849,79201,434541,260407,393677,192860,5728289,5150876,5054364,4908762,3122439,2843943,2779739,2742340,67153,36100,99309,93650,Europe & Central Asia,Upper middle income
91,Germany,Europe,103644,23763,66947,23654,5490601,3835962,4762735,1324055,5490601,3835962,4762735,1324055,913666,1276112,1947199,1741410,13168852,7282994,11148461,5214520,129334893,128908020,132031341,131103328,72414148,71905942,74778380,73985671,1600784,1055130,3348034,2265754,Europe & Central Asia,High income
92,Ghana,Africa,72655,15974,38335,13823,7586027,4658307,8670493,4337365,7586027,4658307,8670493,4337365,118560,125094,263888,181773,14430830,7367103,14185448,7144628,19884297,25861338,32530956,39183352,12151217,17239403,22642249,27407788,1219476,712383,4042702,2049257,Sub-Saharan Africa,Lower middle income
93,Gibraltar,Europe,0,0,0,0,4032,1174,1320,146,4032,1174,1320,146,0,0,0,0,4032,1174,1320,146,26308,29373,30205,30197,26308,29373,30205,30197,0,0,0,0,Europe & Central Asia,High income
94,Glorioso Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
95,Greece,Europe,5075,1204,3193,725,189297,57501,58058,20021,189297,57501,58058,20021,95201,111835,94938,178432,722571,209841,423758,300313,13524352,13515090,12868508,12304113,8201210,8163095,7698883,7370663,26535,69422,100840,74303,Europe & Central Asia,High income
96,Greenland,North America,0,0,0,0,1279,2435,4063,1641,1279,2435,4063,1641,0,0,0,0,6742,3343,5798,2603,76398,75849,74161,74939,6584,16706,19128,20768,0,0,11265,0,Europe & Central Asia,High income
97,Grenada,North America,8021,2347,2982,0,5502,4726,7469,3310,5502,4726,7469,3310,29366,0,49052,29288,22979,14957,23790,9621,101525,108519,118198,125223,67281,51775,30802,35084,3433,994,3433,4800,Latin America & Caribbean,Upper middle income
98,Guadeloupe,North America,627,105,1058,669,12307,7047,10261,5053,12307,7047,10261,5053,3153,12585,13371,14289,65900,24746,41783,20599,472613,459283,449398,455185,197420,200191,188935,191050,2000,14465,36080,15414,,
99,Guam,Oceania,2,39,1,0,2069,1552,4056,5155,2069,1552,4056,5155,6718,293,350,556,17407,9352,22376,13816,164248,168932,173344,185085,36160,47303,52705,76033,11752,18823,16327,26627,East Asia & Pacific,High income
100,Guatemala,North America,84355,40004,101929,39163,1914204,926290,1701039,1043831,1914204,926290,1701039,1043831,254363,233254,355949,365548,6490196,3771067,6586462,3089951,12150938,15056733,17972960,20703308,7226729,8942861,10042843,11496269,854178,752079,1494220,1587570,Latin America & Caribbean,Upper middle income
101,Guernsey,Europe,0,0,0,0,1562,806,1765,1416,1562,806,1765,1416,0,0,0,0,8076,4200,7317,3733,89363,91833,94934,98557,30545,30927,38283,39698,6761,0,6761,7006,,
102,Guinea,Africa,10065,6306,11594,4191,1748250,1340740,3159990,2084198,1748250,1340740,3159990,2084198,42437,49644,47907,60916,5612487,3249033,6897737,3875307,8474928,10436645,13424545,16896683,3492646,4808818,6704190,9138403,660397,436383,1658156,1267356,Sub-Saharan Africa,Lower middle income
103,Guinea-Bissau,Africa,3982,3929,6093,30,334693,218341,447564,247971,334693,218341,447564,247971,20690,374,14247,19279,815805,464417,944251,482373,1257163,1599563,2058411,2538068,547148,753699,1021618,1310114,66860,41226,153529,122701,Sub-Saharan Africa,Low income
104,Guyana,South America,2008,317,1443,829,38404,27422,45411,26115,38404,27422,45411,26115,5316,7955,24640,12101,113263,72620,126827,65107,768550,757386,806282,855157,458429,427214,449780,480095,17020,17253,20178,34358,Latin America & Caribbean,High income
105,Haiti,North America,256017,106979,240035,73277,1755988,987359,1535756,803069,1755988,987359,1535756,803069,395118,284571,697503,574328,5122718,2730306,4822307,2426772,8769771,10330132,11877890,13343456,5203662,6077750,6788225,7429011,609087,559784,1337795,1125526,Latin America & Caribbean,Lower middle income
106,Hala'ib triangle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,1132,1708,812,4105,4694,5238,5465,0,0,0,0,0,0,0,0,,
