country,Population2020_real
Slovenia,2102419
Small states,19572194
Solomon Islands,744498
Somalia,16651191
South Africa,60562381
South Asia,1895144142
South Asia (IDA & IBRD),1895144142
South Sudan,10698467
Spain,47365655
Sri Lanka,21919000
Saint Kitts and Nevis,46870
Saint Lucia,178250
St. Martin (French part),31786
Saint Vincent and the Grenadines,103526
Sub-Saharan Africa,1169015451
Sub-Saharan Africa (excluding high income),1168916989
Sub-Saharan Africa (IDA & IBRD countries),1169015451
Sudan,46789231
Suriname,612317
Sweden,10353442
Switzerland,8638167
Syrian Arab Republic,21049429
Tajikistan,9749310
United Republic of Tanzania,60972798
Thailand,71641484
Timor-Leste,1326053
Togo,8669720
Tonga,105704
Trinidad and Tobago,1366725
Tunisia,11974057
Turkey,83384680
Turkmenistan,6949912
Turks and Caicos Islands,44386
Tuvalu,10399
Uganda,44457152
Ukraine,44680014
United Arab Emirates,9401038
Great Britain,67081234
United States of America,331526933
Upper middle income,2792212417
Uruguay,3398968
Uzbekistan,33586372
Vanuatu,298858
Venezuela,28444077
Viet Nam,98079191
United States Virgin Islands,106290
West Bank,4803269
World,7856138790
Yemen,36134863
Zambia,19059395
Zimbabwe,15526888
